time_us_normalized,accel_x_raw,accel_y_raw,accel_z_raw,distance_cm,velocity_cm_s,pwm1,pwm2,pwm3,pwm4
104732,169,177,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
105236,169,177,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
105740,169,177,176,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
106244,170,177,176,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
106748,168,177,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
107252,169,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
107756,169,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
108264,169,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
108764,169,177,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
109264,169,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
109764,169,176,176,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
110264,169,177,176,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
110764,168,177,176,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
111264,169,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
111764,169,176,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
112264,169,177,175,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
112764,169,176,176,18.399999618530273,13.772849082946777,66.27051041834457,11.65921805401429,0.9902618235654046,40.88194262525083
138260,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
138764,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
139268,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
139772,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
140276,168,175,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
140780,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
141284,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
141788,168,175,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
142292,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
142796,168,176,174,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
143300,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
143804,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
144308,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
144812,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
145316,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
145820,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
146324,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
146828,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
147332,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
147836,169,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
148340,168,176,174,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
148844,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
149348,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
149852,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
150356,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
150860,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
151364,169,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
151868,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
152372,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
152876,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
153380,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
153884,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
154388,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
154892,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
155396,167,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
155900,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
156404,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
156908,168,176,174,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
157416,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
157916,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
158416,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
158916,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
159416,168,176,174,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
159916,169,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
160416,169,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
160916,169,177,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
161416,169,177,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
161916,169,176,176,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
162416,169,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
162916,169,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
163416,168,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
163916,169,177,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
164420,169,177,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
164924,169,177,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
165428,169,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
165932,169,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
166436,169,176,175,18.799999237060547,7.25004768371582,13.771608469472831,12.758075540495476,11.156588114286137,6.840440719168427
550560,166,177,176,15.5,-10.954508781433105,21.77884308867808,17.141177867214765,25.312018843901978,0.39956811742168696
551060,168,177,177,15.5,-10.954508781433105,21.77884308867808,17.141177867214765,25.312018843901978,0.39956811742168696
551560,167,179,176,15.5,-10.954508781433105,21.77884308867808,17.141177867214765,25.312018843901978,0.39956811742168696
552060,169,175,176,15.5,-10.954508781433105,21.77884308867808,17.141177867214765,25.312018843901978,0.39956811742168696
552560,168,177,176,15.5,-10.954508781433105,21.77884308867808,17.141177867214765,25.312018843901978,0.39956811742168696
553060,169,179,175,15.5,-10.954508781433105,21.77884308867808,17.141177867214765,25.312018843901978,0.39956811742168696
550560,166,177,176,15.5,-10.954508781433105,21.77884308867808,17.141177867214765,25.312018843901978,0.39956811742168696
551060,168,177,177,15.5,-10.954508781433105,21.77884308867808,17.141177867214765,25.312018843901978,0.39956811742168696
551560,167,179,176,15.5,-10.954508781433105,21.77884308867808,17.141177867214765,25.312018843901978,0.39956811742168696
552060,169,175,176,15.5,-10.954508781433105,21.77884308867808,17.141177867214765,25.312018843901978,0.39956811742168696
552560,168,177,176,15.5,-10.954508781433105,21.77884308867808,17.141177867214765,25.312018843901978,0.39956811742168696
553060,169,179,175,15.5,-10.954508781433105,21.77884308867808,17.141177867214765,25.312018843901978,0.39956811742168696
579208,169,175,173,14.600000381469727,-16.116315841674805,99.4393073022873,43.66602622702271,73.45957553626647,38.04780301103298
579708,169,174,172,14.600000381469727,-16.116315841674805,99.4393073022873,43.66602622702271,73.45957553626647,38.04780301103298
580208,168,175,173,14.600000381469727,-16.116315841674805,99.4393073022873,43.66602622702271,73.45957553626647,38.04780301103298
580708,167,176,173,14.600000381469727,-16.116315841674805,99.4393073022873,43.66602622702271,73.45957553626647,38.04780301103298
581208,166,177,175,14.600000381469727,-16.116315841674805,99.4393073022873,43.66602622702271,73.45957553626647,38.04780301103298
581708,166,175,175,14.600000381469727,-16.116315841674805,99.4393073022873,43.66602622702271,73.45957553626647,38.04780301103298
582212,164,176,176,14.600000381469727,-16.116315841674805,99.4393073022873,43.66602622702271,73.45957553626647,38.04780301103298
582716,163,176,177,14.600000381469727,-16.116315841674805,99.4393073022873,43.66602622702271,73.45957553626647,38.04780301103298
583220,162,175,177,14.600000381469727,-16.116315841674805,99.4393073022873,43.66602622702271,73.45957553626647,38.04780301103298
583724,161,177,179,14.600000381469727,-16.116315841674805,99.4393073022873,43.66602622702271,73.45957553626647,38.04780301103298
584228,163,176,180,14.600000381469727,-16.116315841674805,99.4393073022873,43.66602622702271,73.45957553626647,38.04780301103298
584732,163,179,180,14.600000381469727,-16.116315841674805,99.4393073022873,43.66602622702271,73.45957553626647,38.04780301103298
585236,169,179,180,14.600000381469727,-16.116315841674805,99.4393073022873,43.66602622702271,73.45957553626647,38.04780301103298
585740,170,175,179,14.600000381469727,-16.116315841674805,99.4393073022873,43.66602622702271,73.45957553626647,38.04780301103298
586244,172,176,178,14.600000381469727,-16.116315841674805,99.4393073022873,43.66602622702271,73.45957553626647,38.04780301103298
586748,175,176,177,14.600000381469727,-16.116315841674805,99.4393073022873,43.66602622702271,73.45957553626647,38.04780301103298
587252,176,175,175,14.600000381469727,-16.116315841674805,99.4393073022873,43.66602622702271,73.45957553626647,38.04780301103298
587756,178,175,174,14.600000381469727,-16.116315841674805,99.4393073022873,43.66602622702271,73.45957553626647,38.04780301103298
